ИНДЕКС;№ ВЕРХ;№ НИЗ;Поставщик;Категория;Группа;Наименование НИЗ;Доп. описание;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;Дата доставки;Упаковочный;Ящик;Вес;Длина;Ширина;Высота
53;;1879.21;УНИКА (Х/1879/2021);Детали для форсунок;Форсунки ЖТ;Штифт;;PB0000002046;–;шт.;6; € -   ; € -   ; € 14,47 ; € 86,82 ;;;;;;;
54;;;;Детали для форсунок;Форсунки ЖТ;Гайка шестигранная;;PB0000012553;–;шт.;6; € -   ; € -   ; € -   ; € -   ;;;;;;;
55;;1879.22;УНИКА (Х/1879/2021);Детали для форсунок;Форсунки ЖТ;Шайба стопорная;;PB0000000441;–;шт.;96; € -   ; € -   ; € 1,10 ; € 105,60 ;;;;;;;
56;;;;Детали для форсунок;Форсунки ЖТ;Втулка;;PB0000006432;–;шт.;4;; € -   ; € -   ; € -   ;;;;;;;
57;;;;Детали для форсунок;Форсунки ЖТ;Уплотнение круглое;;PB0000001522;–;шт.;16;; € -   ; € -   ; € -   ;;;;;;;
58;;1879.23;УНИКА (Х/1879/2021);Детали для форсунок;Форсунки ЖТ;Клапан обратный;;PB0000001200;–;шт.;4; € -   ; € -   ; € 840,00 ; € 3 360,00 ;;;;;;;
59;;1879.24;УНИКА (Х/1879/2021);Детали для форсунок;Форсунки ЖТ;Уплотнительное кольцо;;PB0000001523;–;шт.;32; € -   ; € -   ; € 21,24 ; € 679,68 ;;;;;;;
60;;1879.25;УНИКА (Х/1879/2021);Детали для форсунок;Форсунки ЖТ;Уплотнительное кольцо;;PB0000000710;–;шт.;32; € -   ; € -   ; € 14,87 ; € 475,84 ;;;;;;;
61;;1879.26;УНИКА (Х/1879/2021);Детали для форсунок;Форсунки ЖТ;Кольцо;;PB0000002650;–;шт.;4; € -   ; € -   ; € 6,97 ; € 27,88 ;;;;;;;
62;;1879.27;УНИКА (Х/1879/2021);Детали для форсунок;Форсунки ЖТ;Пружина тарельчатая;;PB0000002646;–;шт.;40; € -   ; € -   ; € 2,75 ; € 110,00 ;;;;;;;
