ИНДЕКС;SET;№ ВЕРХ;№ НИЗ;Поставщик;Категория ВЕРХ;Группа;Наименование НИЗ;Доп. описание;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;Столбец1;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;Статус;Дата доставки;Упаковочный;Ящик;поз.;Вес;Длина;Ширина;Высота;
1;1;R1.01;621.1.01;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 1-й ступени турбины ;46 шт.;;MBA__HA054G001;шт.;46;46; € 13 703,41 ; € 630 356,64 ; € 9 916,83 ; € 456 174,18 ; Доставлено ;20.06.2022;2078240;5000030692;1;1290;2660;1750;1000;
2;1;R1.02;621.1.05;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 1-й ступени турбины;основные - 88 шт.;;MBA__HB051G001;шт.;88;88; € 4 578,60 ; € 402 917,11 ; € 3 276,81 ; € 288 359,28 ; Доставлено ;20.06.2022;2079925;5000032850;1;606;1800;1670;980;
3;1;R1.03;621.1.05;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 1-й ступени турбины;замковая - 1 шт.;;MBA__HB051G002;шт.;1;1; € 4 578,60 ; € 4 578,60 ; € 3 276,81 ; € 3 276,81 ; Доставлено ;20.06.2022;2079925;5000032850;2;606;1800;1670;980;
4;0,5;R1.04;621.1.02;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 2-й ступени турбины ;основные - 20 шт.;;MBA__HA055G001;шт.;20;20; € 14 208,82 ; € 284 176,38 ; € 10 283,03 ; € 205 660,60 ; Доставлено ;20.06.2022;2080023;5000032870;1;836;2660;1750;1000;
4;0,5;R1.04;621.1.02;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 2-й ступени турбины ;основные - 18 шт.;;MBA__HA055G001;шт.;18;18; € 14 208,82 ; € 255 758,74 ; € 10 283,03 ; € 185 094,54 ; Доставлено ;20.06.2022;2080023;5000032871;3;576;2660;1150;1300;
5;1;R1.05;621.1.02;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 2-й ступени турбины ;замковые - 10 шт.;;MBA__HA055G002;шт.;10;10; € 14 208,82 ; € 142 088,19 ; € 10 283,03 ; € 102 830,30 ; Доставлено ;20.06.2022;2080023;5000032870;2;836;2660;1750;1000;
6;1;R1.06;621.1.06;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 2-й ступени турбины;основные - 88 шт.;;MBA__HB052G001;шт.;88;0; € 6 308,70 ; € 555 165,46 ; € 4 565,48 ; € 401 762,24 ;;;;;;;;;;
7;1;R1.07;621.1.06;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 2-й ступени турбины;замковая - 1 шт.;;MBA__HB052G002;шт.;1;0; € 6 308,70 ; € 6 308,70 ; € 4 565,48 ; € 4 565,48 ;;;;;;;;;;
8;1;R1.08;621.1.03;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 3-й ступени турбины;верхняя половина: основные - 20 шт.;;MBA__HA056G001;шт.;20;20; € 10 114,91 ; € 202 298,24 ; € 7 320,46 ; € 146 409,20 ; Доставлено ;22.06.2022;2079370;5000032295;2;760;2440;1830;1340;
9;1;R1.09;621.1.03;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 3-й ступени турбины;верхняя половина: замковые - 5 шт.;;MBA__HA056G002;шт.;5;5; € 10 114,91 ; € 50 574,56 ; € 7 320,46 ; € 36 602,30 ; Доставлено ;22.06.2022;2079370;5000032296;3;362;1550;1220;1340;
10;1;R1.10;621.1.03;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 3-й ступени турбины;нижняя половина: основные - 21 шт.;;MBA__HA056G003;шт.;21;21; € 10 114,91 ; € 212 413,15 ; € 7 320,46 ; € 153 729,66 ; Доставлено ;22.06.2022;2079370;5000032294;1;766;2440;1830;1340;
11;1;R1.11;621.1.03;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 3-й ступени турбины;нижняя половина: замковые - 5 шт.;;MBA__HA056G004;шт.;5;5; € 10 114,91 ; € 50 574,56 ; € 7 320,46 ; € 36 602,30 ; Доставлено ;22.06.2022;2079370;5000032296;4;362;1550;1220;1340;
12;1;R1.12;621.1.07;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 3-й ступени турбины;основные - 62 шт.;;MBA__HB053G001;шт.;62;62; € 7 498,38 ; € 464 899,68 ; € 5 426,40 ; € 336 436,80 ; Доставлено ;20.06.2022;2079225;5000032051;1;1410;2440;1830;1340;
13;1;R1.13;621.1.07;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 3-й ступени турбины;замковая - 1 шт.;;MBA__HB053G002;шт.;1;1; € 7 498,38 ; € 7 498,38 ; € 5 426,40 ; € 5 426,40 ; Доставлено ;20.06.2022;2079225;5000032051;2;1410;2440;1830;1340;
14;0,5;R1.14;621.1.04;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 4-й ступени турбины;верхняя половина: основные - 14 шт.;;MBA__HA057G001;шт.;14;14; € 13 866,70 ; € 194 133,73 ; € 10 035,51 ; € 140 497,14 ; Доставлено ;20.06.2022;2079352;5000032125;1;1446;2660;1750;1300;
14;0,5;R1.14;621.1.04;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 4-й ступени турбины;верхняя половина: основные - 9 шт.;;MBA__HA057G001;шт.;9;9; € 13 866,70 ; € 124 800,26 ; € 10 035,51 ; € 90 319,59 ; Доставлено ;20.06.2022;2079352;5000032126;3;1038;2660;1750;1300;
15;1;R1.15;621.1.04;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 4-й ступени турбины;верхняя половина: замковые - 5 шт.;;MBA__HA057G002;шт.;5;5; € 13 866,70 ; € 69 333,48 ; € 10 035,51 ; € 50 177,55 ; Доставлено ;20.06.2022;2079352;5000032126;4;1038;2660;1750;1300;
16;1;R1.16;621.1.04;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 4-й ступени турбины;нижняя половина: основные - 20 шт.;;MBA__HA057G003;шт.;20;20; € 13 866,70 ; € 277 333,90 ; € 10 035,51 ; € 200 710,20 ; Доставлено ;20.06.2022;2079352;5000032125;2;1446;2660;1750;1300;
17;1;R1.17;621.1.04;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Направляющие лопатки 4-й ступени турбины;нижняя половина: замковые - 7 шт.;;MBA__HA057G004;шт.;7;7; € 13 866,70 ; € 97 066,87 ; € 10 035,51 ; € 70 248,57 ; Доставлено ;20.06.2022;2079352;5000032126;5;1038;2660;1750;1300;
18;0,5;R1.18;621.1.08;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 4-й ступени турбины;выс. частота - 22 шт.;;MBA__HB054G001;шт.;22;22; € 16 976,97 ; € 373 493,41 ; € 12 287,25 ; € 270 319,50 ; Доставлено ;20.06.2022;2080080;5000032872;1;1874;2660;1150;1300;
18;0,5;R1.18;621.1.08;Ансальдо (Х/621/2021);Программные детали;Комплект лопаток 1-4 ступеней турбины;Рабочие лопатки 4-й ступени турбины;низ. частота - 22 шт.;;MBA__HB054G002;шт.;22;22; € 16 976,97 ; € 373 493,41 ; € 12 287,25 ; € 270 319,50 ; Доставлено ;20.06.2022;2080080;5000032872;2;1874;2660;1150;1300;
19;1;R0.1.2.1;623.1.01;Ансальдо (Х/623/2021);Программные детали;Модернизированные ВНА, рабочие лопатки 1-й и 2-й ступени компрессора (CMF+), модернизированные направляющие лопатки компрессора 1-й ступени (CMF+);Лопатки ВНА (CMF+);36 шт.;PB0000247696;MBA__HA010G002;шт.;36;36; € 2 371,20 ; € 85 363,14 ; € 1 400,00 ; € 50 400,00 ; Доставлено ;04.07.2022;2078584;5000031889;2;748;2160;1510;1310;
20;1;R0.1.2.2.01;623.1.08.01;Ансальдо (Х/623/2021);Программные детали;Модернизированные ВНА, рабочие лопатки 1-й и 2-й ступени компрессора (CMF+), модернизированные направляющие лопатки компрессора 1-й ступени (CMF+);Рабочие лопатки 1-й ступени компрессора (CMF+);29 шт.;PB0000247697;MBA__HB011G103;компл.;1;29; € 72 342,10 ; € 72 342,10 ; € 69 600,00 ; € 69 600,00 ; Доставлено ;04.07.2022;2079490;5000032416;4;764;2160;1510;1310;
21;1;R0.1.2.3.01;623.1.09.01;Ансальдо (Х/623/2021);Программные детали;Модернизированные ВНА, рабочие лопатки 1-й и 2-й ступени компрессора (CMF+), модернизированные направляющие лопатки компрессора 1-й ступени (CMF+);Рабочие лопатки 2-й ступени компрессора (CMF+);33 шт.;PB0000247699;MBA__HB012G103;компл.;1;33; € 67 394,11 ; € 67 394,11 ; € 66 000,00 ; € 66 000,00 ; Доставлено ;04.07.2022;2079490;5000032417;5;694;2160;1510;1310;
22;1;R0.1.2.4;623.1.02;Ансальдо (Х/623/2021);Программные детали;Модернизированные ВНА, рабочие лопатки 1-й и 2-й ступени компрессора (CMF+), модернизированные направляющие лопатки компрессора 1-й ступени (CMF+);Диафрагма направляющих лопаток 1-й ступени компрессора (CMF+);состоит из двух половин;;MBA__HA011G001;шт.;1;1; € 118 765,50 ; € 118 765,50 ; € 69 354,00 ; € 69 354,00 ; Доставлено ;04.07.2022;2079460;5000032538;1;850;2520;1270;700;
23;1;R2.1;623.1.03;Ансальдо (Х/623/2021);Программные детали;Рабочие лопатки компрессора 3-6 ступени, направляющие лопатки 2-6 ступени компрессора в соответствии с Приложением R2;Диафрагма направляющих лопаток 2-й ступени компрессора;состоит из двух половин;;MBA__HA012G001;шт.;1;1; € 88 633,46 ; € 88 633,46 ; € 67 500,00 ; € 67 500,00 ; Доставлено ;04.07.2022;2079507;5000033346;1;738;2530;1270;700;
24;1;R2.2;623.1.10;Ансальдо (Х/623/2021);Программные детали;Рабочие лопатки компрессора 3-6 ступени, направляющие лопатки 2-6 ступени компрессора в соответствии с Приложением R2;Рабочие лопатки 3-й ступени компрессора;37 шт.;PB0000214111;MBA__HB013G103;компл.;1;37; € 49 653,01 ; € 49 653,01 ; € 59 200,00 ; € 59 200,00 ; Доставлено ;04.07.2022;2079490;5000032412;1;988;2660;1750;1000;
25;1;R2.2.1;623.1.16;Ансальдо (Х/623/2021);Программные детали;Крепёж рабочих лопаток 1-й - 6-й ступеней компрессора;Пластина стопорная;MBA**HB013G/104;PB0000013047;MBA__HB013G103;шт.;37;37; € 21,81 ; € 806,86 ; € 26,00 ; € 962,00 ; Доставлено ;15.07.2022;2078585;5000031013;3;58;800;600;700;
26;1;R2.3;623.1.04;Ансальдо (Х/623/2021);Программные детали;Рабочие лопатки компрессора 3-6 ступени, направляющие лопатки 2-6 ступени компрессора в соответствии с Приложением R2;Диафрагма направляющих лопаток 3-й ступени компрессора;состоит из двух половин;;MBA__HA013G001;шт.;1;0; € 88 584,12 ; € 88 584,12 ; € 68 250,00 ; € 68 250,00 ;;;;;;;;;;
27;1;R2.4;623.1.11;Ансальдо (Х/623/2021);Программные детали;Рабочие лопатки компрессора 3-6 ступени, направляющие лопатки 2-6 ступени компрессора в соответствии с Приложением R2;Рабочие лопатки 4-й ступени компрессора;41 шт.;PB0000214112;MBA__HB014G103;компл.;1;41; € 46 499,39 ; € 46 499,39 ; € 53 300,00 ; € 53 300,00 ; Доставлено ;04.07.2022;2079490;5000032412;2;988;2660;1750;1000;
28;1;R2.4.1;623.1.17;Ансальдо (Х/623/2021);Программные детали;Крепёж рабочих лопаток 1-й - 6-й ступеней компрессора;Пластина стопорная;MBA**HB014G/104;PB0000013049;MBA__HB014G103;шт.;41;41; € 22,68 ; € 929,99 ; € 26,00 ; € 1 066,00 ; Доставлено ;15.07.2022;2078585;5000031013;4;58;800;600;700;
29;1;R2.5;623.1.05;Ансальдо (Х/623/2021);Программные детали;Рабочие лопатки компрессора 3-6 ступени, направляющие лопатки 2-6 ступени компрессора в соответствии с Приложением R2;Диафрагма направляющих лопаток 4-й ступени компрессора;состоит из двух половин;;MBA__HA014G001;шт.;1;1; € 79 055,47 ; € 79 055,47 ; € 46 732,50 ; € 46 732,50 ; Доставлено ;15.07.2022;2080999;5000034239;1;730;2440;1220;1000;
30;1;R2.6;623.1.12;Ансальдо (Х/623/2021);Программные детали;Рабочие лопатки компрессора 3-6 ступени, направляющие лопатки 2-6 ступени компрессора в соответствии с Приложением R2;Рабочие лопатки 5-й ступени компрессора;43 шт.;PB0000214113;MBA__HB015G103;компл.;1;43; € 43 124,65 ; € 43 124,65 ; € 47 300,00 ; € 47 300,00 ; Доставлено ;04.07.2022;2079490;5000032412;3;988;2660;1750;1000;
31;1;R2.6.1;623.1.18;Ансальдо (Х/623/2021);Программные детали;Крепёж рабочих лопаток 1-й - 6-й ступеней компрессора;Пластина стопорная;MBA**HB015G/104;PB0000013051;MBA__HB015G103;шт.;43;43; € 23,70 ; € 1 019,31 ; € 26,00 ; € 1 118,00 ; Доставлено ;15.07.2022;2078585;5000031013;5;58;800;600;700;
32;1;R2.7;623.1.06;Ансальдо (Х/623/2021);Программные детали;Рабочие лопатки компрессора 3-6 ступени, направляющие лопатки 2-6 ступени компрессора в соответствии с Приложением R2;Диафрагма направляющих лопаток 5-й ступени компрессора;состоит из двух половин;;MBA__HA015G001;шт.;1;0; € 83 448,35 ; € 83 448,35 ; € 55 200,00 ; € 55 200,00 ;;;;;;;;;;
33;1;R2.8;623.1.13;Ансальдо (Х/623/2021);Программные детали;Рабочие лопатки компрессора 3-6 ступени, направляющие лопатки 2-6 ступени компрессора в соответствии с Приложением R2;Рабочие лопатки 6-й ступени компрессора;43 шт.;PB0000214114;MBA__HB016G103;компл.;1;43; € 40 431,69 ; € 40 431,69 ; € 45 150,00 ; € 45 150,00 ; Доставлено ;04.07.2022;2078584;5000031888;1;326;1550;1220;1000;
34;1;R2.8.1;623.1.19;Ансальдо (Х/623/2021);Программные детали;Крепёж рабочих лопаток 1-й - 6-й ступеней компрессора;Пластина стопорная;MBA**HB016G/104;PB0000013053;MBA__HB016G103;шт.;43;43; € 23,28 ; € 1 001,17 ; € 26,00 ; € 1 118,00 ; Доставлено ;15.07.2022;2078585;5000031013;6;58;800;600;700;
35;1;R2.9;623.1.07;Ансальдо (Х/623/2021);Программные детали;Рабочие лопатки компрессора 3-6 ступени, направляющие лопатки 2-6 ступени компрессора в соответствии с Приложением R2;Диафрагма направляющих лопаток 6-й ступени компрессора;состоит из двух половин;;MBA__HA016G001;шт.;1;1; € 69 948,97 ; € 69 948,97 ; € 39 000,00 ; € 39 000,00 ; Доставлено ;04.07.2022;2079507;5000033347;2;520;2320;1180;700;
36;0,013513514;R0.1.04;1769.1;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;Опорно-упорный подшипник компрессора;"В поставку включены:
- все необходимые детали
- все датчики КИП
- МЗК
- клеммная коробка, кабели КИП";;;компл.;1;; € 383 457,04 ; € 383 457,04 ; € 375 000,00 ; € 375 000,00 ; Доставлено ;11.07.2022;2078459;5000030812;3;1088;1240;1220;1340;
36;0,013513514;R0.1.04.01;1769.1.001;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;SHIELDED CONTROL CABLE 4X0.75;kg 2,361;;MBD**HD002G062;шт.;36;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;1;126;2120;840;240;
36;0,013513514;R0.1.04.02;1769.1.002;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;PLATE;kg 10,273;;MBD**HD002G070;шт.;1;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;2;126;2120;840;240;
36;0,013513514;R0.1.04.03;1769.1.003;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;GASKET;kg 0,021;;MBD**HD002G071;шт.;1;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;3;126;2120;840;240;
36;0,013513514;R0.1.04.04;1769.1.004;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;MOUNTING PLATE;kg 36;;MBD**HD002G073;шт.;1;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;4;126;2120;840;240;
36;0,013513514;R0.1.04.05;1769.1.005;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;SUPPORT;kg 0,527 each;;MBD**HD002G077;шт.;2;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;5;126;2120;840;240;
36;0,013513514;R0.1.04.06;1769.1.006;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;KKS PLATES DM41300 TG AE94.2;kg 0,008;;MBD**HD002G145;шт.;1;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;6;126;2120;840;240;
36;0,013513514;R0.1.04.07;1769.1.007;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;KKS PLATE;kg 0,187;;MBD**HD002G147;шт.;1;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;7;126;2120;840;240;
36;0,013513514;R0.1.04.08;1769.1.008;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;HEX HD SCREW-ISO4017-M4X20-8.8-Zn;kg 0,003 each;;MBD**HD002G150;шт.;50;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;8;126;2120;840;240;
36;0,013513514;R0.1.04.09;1769.1.009;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;HEX HD SCREW-ISO4017-M4X10-8.8-Zn;kg 0,001 each;;MBD**HD002G151;шт.;90;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;9;126;2120;840;240;
36;0,013513514;R0.1.04.10;1769.1.010;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;PAIR OF LOCK WASHERS, SHAPE A, FOR SCREW;kg 0,001 each;;MBD**HD002G152;шт.;30;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;10;126;2120;840;240;
36;0,013513514;R0.1.04.11;1769.1.011;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;HEXAGON REGULAR NUT (STYLE 1) WITH THREA;kg 0,001 each;;MBD**HD002G153;шт.;8;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;11;126;2120;840;240;
36;0,013513514;R0.1.04.12;1769.1.012;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;HEX HD SCREW-ISO4017-M6X12-8.8;kg 0,004 each;;MBD**HD002G154;шт.;30;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;12;126;2120;840;240;
36;0,013513514;R0.1.04.13;1769.1.013;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;HEX HD SCREW-ISO4017-M6X65-8.8-Zn;kg 0,013 each;;MBD**HD002G160;шт.;6;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;13;126;2120;840;240;
36;0,013513514;R0.1.04.14;1769.1.014;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;PAIR OF LOCK WASHERS, SHAPE A, FOR SCREW;kg 0,001 each;;MBD**HD002G195;шт.;12;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;14;126;2120;840;240;
36;0,013513514;R0.1.04.15;1769.1.015;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;HEXAGON REGULAR NUT (STYLE 1) WITH THREA;kg 0,002 each;;MBD**HD002G201;шт.;16;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;15;126;2120;840;240;
36;0,013513514;R0.1.04.16;1769.1.016;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;SERRATED LOCK WASHER, TYPE A, FOR SCREWS;kg 0,001 each;;MBD**HD002G202;шт.;16;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;16;126;2120;840;240;
36;0,013513514;R0.1.04.17;1769.1.017;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;HEX HD SCREW-ISO4017-M6X30-8.8-Zn;kg 0,008 each;;MBD**HD002G203;шт.;16;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;17;126;2120;840;240;
36;0,013513514;R0.1.04.18;1769.1.018;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;HEXAGON SOCKET HEAD CAP SCREW WITH THREA;kg 0,009 each;;MBD**HD002G204;шт.;8;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;18;126;2120;840;240;
36;0,013513514;R0.1.04.19;1769.1.019;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;PAIR OF LOCK WASHERS, SHAPE A, FOR SCREW;kg 0,001 each;;MBD**HD002G205;шт.;16;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;19;126;2120;840;240;
36;0,013513514;R0.1.04.20;1769.1.020;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;HEXAGONAL SOCKET CYLINDRIC HEAD SCREW;kg 0,086 each;;MBD**HD002G209;шт.;4;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;20;126;2120;840;240;
36;0,013513514;R0.1.04.21;1769.1.021;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;STUFFING BOX;kg 0,008 each;;MBD**HD002G301;шт.;15;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;21;126;2120;840;240;
36;0,013513514;R0.1.04.22;1769.1.022;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;STUFFING BOX;kg 0,006 each;;MBD**HD002G302;шт.;10;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;22;126;2120;840;240;
36;0,013513514;R0.1.04.23;1769.1.023;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;STUFFING BOX, SR11/07,MS*NI CAT.LAPP;kg 0,042 each;;MBD**HD002G320;шт.;30;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;23;126;2120;840;240;
36;0,013513514;R0.1.04.24;1769.1.024;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;PIPE CLAMP WITH TWO END MOUNTING FOR 1 L;kg 0,002 each;;MBD**HD002G345;шт.;7;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;24;126;2120;840;240;
36;0,013513514;R0.1.04.25;1769.1.025;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;PIPE CLAMP WITH TWO END MOUNTING FOR 2 L;kg 0,003 each;;MBD**HD002G346;шт.;25;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;25;126;2120;840;240;
36;0,013513514;R0.1.04.26;1769.1.026;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;PIPE CLAMP WITH TWO END MOUNTING FOR 5 L;kg 0,004 each;;MBD**HD002G351;шт.;2;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;26;126;2120;840;240;
36;0,013513514;R0.1.04.27;1769.1.027;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;PIPE CLAMP WITH TWO END MOUNTING FOR 3 L;kg 0,003 each;;MBD**HD002G362;шт.;15;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;27;126;2120;840;240;
36;0,013513514;R0.1.04.28;1769.1.028;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;FASTENING CLIP FOR CABLE DIAM.30;kg 0,01 each;;MBD**HD002G363;шт.;10;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;28;126;2120;840;240;
36;0,013513514;R0.1.04.29;1769.1.029;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;STEEL CONDUIT FLEXIBLE TYPE NZ25;kg 3,4;;MBD**HD002G364;шт.;10;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;29;126;2120;840;240;
36;0,013513514;R0.1.04.30;1769.1.030;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;END BUSH FOR CONDUIT Ø25;kg 0,018 each;;MBD**HD002G365;шт.;10;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;30;126;2120;840;240;
36;0,013513514;R0.1.04.31;1769.1.031;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;CABLE CLIP;kg 0,001 each;;MBD**HD002G430;шт.;10;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;31;126;2120;840;240;
36;0,013513514;R0.1.04.32;1769.1.032;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;CABLE CLIP;kg 0,001 each;;MBD**HD002G431;шт.;10;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;32;126;2120;840;240;
36;0,013513514;R0.1.04.33;1769.1.033;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;SUPPORT 20X8X0,8, OBO-BETTERMAN 2060/FE;kg 0,968;;MBD**HD002G470;шт.;5;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;33;126;2120;840;240;
36;0,013513514;R0.1.04.34;1769.1.034;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;CARRYING GUIDE 14x28 mm;kg 0,551;;MBD**HD002G471;шт.;1;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;34;126;2120;840;240;
36;0,013513514;R0.1.04.35;1769.1.035;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;TWO-WAY DISTRIBUTION BOX WITH D=GJ 1 1/2;kg 0,378 each;;MBD**HD002G476;шт.;3;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;35;126;2120;840;240;
36;0,013513514;R0.1.04.36;1769.1.036;Ансальдо (П/1769/2021);Программные детали;Опорно-упорный подшипник компрессора;COUPLING, M2 TYPE, WITH THREAD GJ 1 1/2;kg 0,334 each;;MBD**HD002G478;шт.;8;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;2078450;5000031075;36;126;2120;840;240;
