ИНДЕКС;УН;№ ВЕРХ;№ НИЗ;Поставщик;Категория ВЕРХ;Группа;Наименование ВЕРХ;Наименование НИЗ;Доп. описание;Аналог / гост / чертеж / альт. договор;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;СКЛАД;ДЕФИЦИТ;АКЗЧ;ДЕФ с уч. АКЗЧ;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;НАЛИЧИЕ НА СКЛАДЕ;Статус;ПРИОРИТЕТ ЗАКУПКИ;Дата доставки;Упаковочный;Столбец2;Ящик;Вес;Длина;Ширина;Высота
231;1;R3;1820.1.175;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт конический;;;PB0000000009;MBA__HA075G036;шт.;2;2;0;2;; € 44,81 ; € 89,61 ; € 28,00 ; € 56,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
232;1;R3;1820.1.176;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000002683;MBA__HA075G039;шт.;2;2;0;4;; € 12,80 ; € 25,60 ; € 8,00 ; € 16,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
233;1;R3;1820.1.177;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000000941;MBA__HA075G054;шт.;2;2;0;2;; € 20,80 ; € 41,61 ; € 13,00 ; € 26,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
234;1;R3;1820.1.178;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Втулка;;;PB0000000666;MBA__HA075G055;шт.;38;38;0;38;; € 20,80 ; € 790,50 ; € 13,00 ; € 494,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
235;1;R3;1820.1.179;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка шестигранная;;;PB0000000041;MBA__HA075G058;шт.;2;2;0;1;; € 4,80 ; € 9,60 ; € 3,00 ; € 6,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
236;1;R3;1820.1.180;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000006441;MBA__HA075G069;шт.;2;2;0;2;; € 36,80 ; € 73,61 ; € 23,00 ; € 46,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
237;1;R3;1820.1.181;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000002708;MBA__HA075G117;шт.;2;2;0;2;; € 40,01 ; € 80,01 ; € 25,00 ; € 50,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
238;1;R3;1820.1.182;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Ось;;;PB0000006134;MBA__HA075G004;шт.;8;8;0;8;; € 25,60 ; € 204,83 ; € 16,00 ; € 128,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
239;1;R3;1820.1.183;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Подшипник;;;PB0000000643;MBA__HA075G013;шт.;8;8;0;8;; € 126,42 ; € 1 011,33 ; € 79,00 ; € 632,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
240;1;R3;1820.1.184;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пружина тарельчатая;;;PB0000000755;MBA__HA075G116;шт.;8;8;0;2;; € 4,80 ; € 38,40 ; € 3,00 ; € 24,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
241;1;R3;1820.1.185;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000000194;MBA__HA075G115;шт.;10;10;0;5;; € 11,20 ; € 112,01 ; € 7,00 ; € 70,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
242;1;R3;1820.1.186;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт с шестигранной головкой;;;PB0000000388;MBA__HA075G022;шт.;14;14;0;15;; € 1,60 ; € 22,40 ; € 1,00 ; € 14,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
243;1;R3;1820.1.187;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Винт установочный с цапфой;;;PB0000000427;MBA__HA075G009;шт.;16;16;0;2;; € 1,60 ; € 25,60 ; € 1,00 ; € 16,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
244;1;R3;1820.1.188;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000024628;MBA__HA075G012;шт.;32;32;0;;; € 1,60 ; € 51,21 ; € 1,00 ; € 32,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
245;1;R3;1820.1.189;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Втулка;;;PB0000000644;MBA__HA075G020;шт.;36;36;0;36;; € 12,80 ; € 460,86 ; € 8,00 ; € 288,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
246;1;R3;1820.1.190;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;О-образное кольцо;;Х/2123/2022;PB0000251717;MBA__HA075G019;шт.;72;;72;;72; € 4,80 ; € 345,64 ; € 3,00 ; € 216,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
247;1;R3;1820.1.191;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Лента уплотнительная 1300мм/6,0мм/20м;;;PB0000170117;-;шт.;3;3;0;;; € 596,88 ; € 1 790,63 ; € 373,00 ; € 1 119,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
248;1;R3;1820.1.192;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Лента уплотнительная 1400мм/6,0мм/20м;;;PB0000170119;-;шт.;58;58;0;;; € 596,88 ; € 34 618,86 ; € 373,00 ; € 21 634,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
249;1;R3;1820.1.193;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000006121;-;шт.;1;1;0;;; € 336,04 ; € 336,04 ; € 210,00 ; € 210,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
250;1;R3;1820.1.194;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000006122;-;шт.;1;1;0;;; € 336,04 ; € 336,04 ; € 210,00 ; € 210,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
251;1;R3;1820.1.195;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000006123;-;шт.;1;1;0;;; € 336,04 ; € 336,04 ; € 210,00 ; € 210,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
