№;Категория;Наименование;Описание;PB;KKS;Ед. изм.;Кол-во НИЗ;Цена
533;Малые детали;Кольцо уплотнительное;;PB0000009083;MBM__HA009G004;шт.;8;24
534;Малые детали;Стекло;;PB0000009079;MBM__HA009G008;шт.;12;85
535;Малые детали;Болт;;PB0000009077;MBM__HA009G012;шт.;4;23
536;Малые детали;Штифт;;PB0000002019;MBM__HA009G016;шт.;4;11
537;Малые детали;Болт;;PB0000009089;MBM__HA010G017;шт.;5;2
538;Малые детали;Кольцо уплотнительное;;PB0000009080;MBM__HA009G007;шт.;24;3
539;Малые детали;Шайба;;PB0000016752;MBM__HA010G018;шт.;12;3
540;Малые детали;Винт с цилиндрической головкой;;PB0000000405;MBM__HA009G010;шт.;48;1
541;Малые детали;Кольцо уплотнительное;;PB0000009456;MBM__HA009G014;шт.;48;3
542;Малые детали;Шайба;;PB0000000167;MBM__HA009G018;шт.;16;1
543;Малые детали;Гайка шестигранная;;PB0000000119;MBM__HA010G011;шт.;16;1
544;Малые детали;Болт;;PB0000002185;MBM__HA001G076;шт.;48;52
545;Малые детали;Шайба;;PB0000007280;MBM__HA001G077;шт.;48;7
546;Малые детали;Пружина тарельчатая;;PB0000009618;MBM__HA010G014;шт.;120;1
547;Малые детали;Прокладка;;PB0000000992;-;шт.;1;47
548;Малые детали;Прокладка;;PB0000006175;-;шт.;1;67
549;Малые детали;Прокладка;;PB0000000989;-;шт.;1;47
550;Малые детали;О-образное уплотнение;;PB0000001029;-;шт.;51;3
551;Малые детали;О-образное уплотнение;;PB0000001041;-;шт.;18;3
552;Малые детали;О-образное уплотнение;;PB0000001043;-;шт.;6;3
553;Малые детали;Уплотнение;;PB0000000449;-;шт.;2;3
554;Малые детали;Уплотнение;;PB0000044453;-;шт.;2;3
555;Малые детали;Прокладка;;PB0000000991;-;шт.;2;63
556;Малые детали;Прокладка;;PB0000033431;-;шт.;2;11
557;Малые детали;О-образное уплотнение;;PB0000001069;-;шт.;20;4
558;Малые детали;О-образное уплотнение;;PB0000001032;-;шт.;10;3
559;Малые детали;О-образное уплотнение;;PB0000150433;-;шт.;2;7
560;Малые детали;О-образное уплотнение;;PB0000001042;-;шт.;2;2
561;Малые детали;Уплотнение;;PB0000000016;-;шт.;75;1
562;Малые детали;Штифт;;PB0000000575;-;шт.;2;3
563;Малые детали;Уплотнение;;PB0000008221;MBV__CL001G007;шт.;1;10
564;Малые детали;О-образное уплотнение;;PB0000006933;-;шт.;4;4
565;Малые детали;Уплотнение;;PB0000000020;-;шт.;12;3
566;Малые детали;Уплотнение;;PB0000000982;-;шт.;5;4
567;Малые детали;Уплотнение;;PB0000001028;-;шт.;1;3
