№;Категория;Наименование;Описание;PB;KKS;Ед. изм.;Кол-во НИЗ;Цена
106;Малые детали;Пробка резьбовая;;PB0000000430;MBA__HA081G902;шт.;3;14
107;Малые детали;Кольцо уплотнительное;;PB0000000156;MBA__HA081G905;шт.;88;1
108;Малые детали;Шайба;;PB0000006962;MBA__HA081G007;шт.;4;53
109;Малые детали;Штифт конический;;PB0000000337;MBA__HA081G019;шт.;4;95
110;Малые детали;Кольцо уплотнительное;;PB0000000011;MBA__HA081G904;шт.;86;3
111;Малые детали;Гайка шестигранная;;PB0000000035;MBA__HA081G006;шт.;5;66
112;Малые детали;Пробка резьбовая;;PB0000000429;MBA__HA081G903;шт.;12;19
113;Малые детали;Кольцо уплотнительное;;PB0000000161;MBA__HA081G906;шт.;25;4
114;Малые детали;Вставка резьбовая M30х37,5;;PB0000001055;-;шт.;16;8
115;Малые детали;Вставка резьбовая M16x20;;PB0000001054;-;шт.;13;2
116;Малые детали;Штифт конический;;PB0000000448;MBA__HA070G018;шт.;2;53
117;Малые детали;Шпилька;;PB0000002671;MBA__HA070G006;шт.;3;105
118;Малые детали;Болт калиброванный;;PB0000005998;MBA__HA070G004;шт.;4;79
119;Малые детали;Штифт конический;;PB0000000038;MBA__HA070G007;шт.;6;46
120;Малые детали;Болт;;PB0000000956;MBA__HA070G008;шт.;4;46
121;Малые детали;Болт;;PB0000000957;MBA__HA070G009;шт.;4;93
122;Малые детали;Шайба;;PB0000006761;MBA__HA070G014;шт.;37;20
123;Малые детали;Болт калиброванный;;PB0000000547;MBA__HA070G010;шт.;10;105
124;Малые детали;Гайка шестигранная;;PB0000000007;MBA__HA070G005;шт.;25;31
125;Малые детали;Конус демпфирующий;;PG0032796200;MBA__HB001G004;шт.;1;2620
126;Малые детали;Штифт стопорный;;PB0000013054;MBA__HB001G029;шт.;1;40
127;Малые детали;Кольцо круглого сечения;;PB0000000550;MBA__HB001G036;шт.;1;7
128;Малые детали;Штифт;;PB0000000047;MBA__HB041G004;шт.;2;18
129;Малые детали;Палец с квадратным концом;;PB0000001886;MBA__HB041G011;шт.;4;8
130;Малые детали;Штифт;;PB0000006136;MBA__HB043G004;шт.;1;15
131;Малые детали;Конус демпфирующий;;PG0032691400;MBA__HB001G126;шт.;1;2620
132;Малые детали;Конус демпфирующий;;PG0032796300;MBA__HB001G005;шт.;2;2618
133;Малые детали;Груз;;PB0000006142;MBA__HB001G031;шт.;10;98
134;Малые детали;Винт;;PB0000000412;MBA__HB001G034;шт.;6;1
135;Малые детали;Пластина стопорная;;PB0000006301;MBA__HB041G010;шт.;8;50
136;Малые детали;Пластина стопорная;;PB0000006302;MBA__HB044G010;шт.;8;49
137;Малые детали;Пластина стопорная;;PB0000006320;MBA__HB044G012;шт.;11;47
138;Малые детали;Шпонка 15х15х15,5;;PB0000000692;MBA__HB043G302;шт.;15;12
139;Малые детали;Груз;;PB0000003508;-;шт.;45;12
140;Малые детали;Штифт;;PB0000003507;-;шт.;55;20
141;Малые детали;Шпонка 10х10х10,5;;PB0000006107;MBA__HB041G302;шт.;44;9
142;Малые детали;Пластина уплотнительная;;PB0000013042;MBA__HB011G103;шт.;29;13
143;Малые детали;Пластина уплотнительная;;PB0000013045;MBA__HB012G103;шт.;33;13
144;Малые детали;Пластина уплотнительная;;PB0000013047;MBA__HB013G103;шт.;37;13
145;Малые детали;Пластина уплотнительная;;PB0000013049;MBA__HB014G103;шт.;41;13
146;Малые детали;Пластина уплотнительная;;PB0000013051;MBA__HB015G103;шт.;43;13
147;Малые детали;Пластина уплотнительная;;PB0000013053;MBA__HB016G103;шт.;43;13
148;Малые детали;Стопор;;PB0000001823;MBA__HB044G005;шт.;44;28
149;Малые детали;Шпонка 15х15х15;;PB0000000691;MBA__HB043G301;шт.;62;12
150;Малые детали;Стопор;;PB0000001814;MBA__HB043G005;шт.;63;25
151;Малые детали;Шпонка 10х10х10;;PB0000005891;MBA__HB041G301;шт.;176;9
152;Малые детали;Пластина стопорная;;PB0000006296;MBA__HB044G006;шт.;88;22
153;Малые детали;Стопор;;PB0000006140;MBA__HB041G005;шт.;89;8
154;Малые детали;Стопор;;PB0000006141;MBA__HB041G006;шт.;89;8
155;Малые детали;Пластина стопорная;;PB0000006153;MBA__HB041G010;шт.;89;16
156;Малые детали;Стопор;;PB0000005892;MBA__HB042G005;шт.;89;8
157;Малые детали;Стопор;;PB0000005893;MBA__HB042G006;шт.;89;8
158;Малые детали;Пластина стопорная;;PB0000005896;MBA__HB042G010;шт.;89;16
159;Малые детали;Элемент стопорный;;PB0000007899;-;шт.;1;720
160;Малые детали;Шайба;;PB0000007855;-;шт.;2;93
161;Малые детали;Шайба;;PB0000007886;-;шт.;4;145
162;Малые детали;Шайба;;PB0000207531;-;шт.;8;197
163;Малые детали;Шайба;;PB0000208206;-;шт.;8;92
164;Малые детали;Шайба;;PB0000209130;-;шт.;8;105
165;Малые детали;Пластина;;PB0000007917;-;шт.;4;263
166;Малые детали;Штифт;;PB0000007860;-;шт.;4;6
167;Малые детали;Тарельчатая пружина;;PB0000207529;-;шт.;16;65
168;Малые детали;Винт;;PB0000016347;-;шт.;8;13
169;Малые детали;Шайба;;PB0000007885;-;шт.;16;144
170;Малые детали;Шпилька;;PB0000007922;-;шт.;16;8
171;Малые детали;Шайба;;PB0000007869;-;шт.;18;92
172;Малые детали;Шайба;;PB0000007884;-;шт.;20;92
173;Малые детали;Болт;;PB0000007876;-;шт.;24;38
174;Малые детали;Уплотнение;;PB0000007861;MBA__HA004G009;шт.;2;13
175;Малые детали;Проставка;;PB0000007871;MBA__HA004G002;шт.;4;328
176;Малые детали;Лапа;;PB0000007901;MBA__HA004G003;шт.;4;210
177;Малые детали;Вставка резьбовая;;PB0000021265;-;шт.;8;7
178;Малые детали;Лента уплотнительная;;PB0000000779;MBD__HD045G006;м;27,5;22
179;Малые детали;Штифт конический;;PB0000000160;MBD__HD045G011;шт.;2;13
180;Малые детали;Винт с цилиндрической головкой;;PB0000000419;MBD__HD045G010;шт.;5;2
181;Малые детали;Заглушка резьбовая;;PB0000000074;MBD__HD044G015;шт.;1;27
182;Малые детали;Кольцо уплотнительное;;PB0000000027;MBD__HD044G016;шт.;9;4
183;Малые детали;Пробка резьбовая;;PB0000000996;MBD__HD050G006;шт.;1;50
184;Малые детали;Винт с цилиндрической головкой;;PB0000000361;MBD__HD044G010;шт.;2;13
185;Малые детали;Шпилька;;PB0000253507;MBD__HD044G008;шт.;4;105
186;Малые детали;Штифт конический;;PB0000273851;MBD__HD044G009;шт.;2;73
187;Малые детали;Штифт конический;;PB0000000447;MBD__HD050G005;шт.;2;10
188;Малые детали;Уплотнение;;PB0000000919;MBD__HD043G029;м;2;15
189;Малые детали;Гайка;;PB0000000037;MBD__HD044G012;шт.;8;39
190;Малые детали;Уплотнение;;PB0000001422;MBD__HD043G031;м;5;7
191;Малые детали;Болт с шестигранной головкой;;PB0000013130;MBD__HD050G003;шт.;6;1
192;Малые детали;Болт с шестигранной головкой;;PB0000000380;MBD__HD050G004;шт.;6;2
193;Малые детали;Болт с шестигранной головкой;;PB0000013125;MBD__HD045G008;шт.;6;1
194;Малые детали;Колено;;PB0000008060;-;шт.;1;80
195;Малые детали;Уплотнение;;PB0000000024;-;шт.;24;3
196;Малые детали;Штуцер;;PB0000008061;-;шт.;1;7
197;Малые детали;Шланг;;PB0000008045;-;шт.;1;93
198;Малые детали;Штуцер;;PB0000008019;-;шт.;1;133
199;Малые детали;Прокладка s=2;;PB0000155706;MBD__HD007G017;шт.;1;15
200;Малые детали;Прокладка s=3;;PB0000008170;MBD__HD007G018;шт.;1;20
201;Малые детали;Уплотнение плоское;;PB0000006182;-;шт.;1;53
202;Малые детали;О-образное кольцо;;PB0000000469;MBD__HD003G906;шт.;1;5
203;Малые детали;О-образное кольцо;;PB0000000472;MBD__HD003G907;шт.;1;5
204;Малые детали;Шпилька;;PB0000000343;MBD__HD004G013;шт.;1;25
205;Малые детали;Шпилька;;PB0000000546;MBD__HD004G015;шт.;1;20
206;Малые детали;Болт;;PB0000008008;MBD__HD007G004;шт.;2;20
207;Малые детали;Штифт конический;;PB0000008006;MBD__HD007G006;шт.;2;48
208;Малые детали;Прокладка;;PB0000008150;MBD__HD007G009;шт.;2;23
209;Малые детали;Прокладка s=2;;PB0000008166;MBD__HD007G013;шт.;2;13
210;Малые детали;Прокладка s=3;;PB0000008167;MBD__HD007G014;шт.;2;13
211;Малые детали;Винт с цилиндрической головкой ;;PB0000000417;MBD__HD003G013;шт.;2;3
212;Малые детали;Гайка шестигранная;;PB0000000698;MBD__HD004G019;шт.;2;33
213;Малые детали;Штифт конический;;PB0000000065;MBD__HD004G021;шт.;2;23
214;Малые детали;Шпилька;;PB0000000344;MBD__HD004G014;шт.;2;93
215;Малые детали;Винт с цилиндрической головкой;;PB0000000705;MBD__HD004G017;шт.;2;3
216;Малые детали;Болт;;PB0000012561;MBD__HD003G008;шт.;4;1
217;Малые детали;Штифт цилиндрический;;PB0000006081;MBD__HD003G010;шт.;4;10
218;Малые детали;Шайба;;PB0000000346;MBD__HD004G022;шт.;4;9
219;Малые детали;Гайка шестигранная;;PB0000000006;MBD__HD004G018;шт.;4;1
220;Малые детали;Пластина;;PB0000007216;MBD__HD003G009;шт.;4;171
221;Малые детали;Ус уплотнительный D=700мм,H=6,0мм,L=20м;;PB0000170098;-;шт.;5;373
222;Малые детали;Проволока квадратного сечения 1х1;;PB0000000778;MBD__HD002G910;м;1584,1;1
223;Малые детали;Ус уплотнительный D=1200мм,H=6,0мм,L=20м;;PB0000170115;-;шт.;11;372
224;Малые детали;Ус уплотнительный D=650мм,H=4,5мм,L=20м;;PB0000170043;-;шт.;5;373
225;Малые детали;Ус уплотнительный D=1200мм,H=4,5мм,L=20м;;PB0000170050;-;шт.;7;373
226;Малые детали;Пробка резьбовая;;PB0000006097;MBD__HD002G013;шт.;1;30
227;Малые детали;Винт с цилиндрической головкой;;PB0000000421;MBD__HD002G003;шт.;2;3
228;Малые детали;Винт с цилиндрической головкой;;PB0000000422;MBD__HD002G004;шт.;2;3
229;Малые детали;Штифт конический;;PB0000000019;MBD__HD002G005;шт.;2;25
230;Малые детали;Пластина;;PB0000007176;MBD__HD002G006;шт.;2;158
231;Малые детали;Пластина;;PB0000006372;MBD__HD002G007;шт.;2;67
232;Малые детали;Винт с цилиндрической головкой;;PB0000000410;MBD__HD002G008;шт.;2;3
233;Малые детали;Лента уплотнительная;;PB0000170068;MBA__HA029G006;шт.;12;373
234;Малые детали;Пластина;;PB0000005885;-;шт.;2;113
235;Малые детали;Винт с цилиндрической головкой;;PB0000000043;MBA__HA079G008;шт.;46;1
236;Малые детали;Кольцо уплотнительное;;PB0000000004;MBA__HA079G009;шт.;1;5
237;Малые детали;Штифт цилиндрический;;PB0000001036;MBA__HA079G015;шт.;1;20
238;Малые детали;Болт с шестигранной головкой;;PB0000001792;MBA__HA030G004;шт.;1;35
239;Малые детали;Гайка шестигранная;;PB0000000699;MBA__HA030G006;шт.;3;12
240;Малые детали;Штифт;;PB0000000033;MBA__HA030G007;шт.;2;35
241;Малые детали;Винт с цилиндрической головкой;;PB0000001364;MBA__HA029G004;шт.;8;21
242;Малые детали;Болт с шестигранной головкой;;PB0000002658;MBA__HA079G026;шт.;6;25
243;Малые детали;Кольцо уплотнительное;;PB0000000988;MBH__BR003G015;шт.;2;5
244;Малые детали;Кольцо уплотнительное;;PB0000001018;MBH__BR003G017;шт.;1;5
245;Малые детали;Головка шарнира;;PB0000002734;MBA__HA075G042;шт.;1;225
246;Малые детали;Гайка низкая шестигранная с фаской;;PB0000001803;MBA__HA075G043;шт.;1;10
247;Малые детали;Головка шарнира;;PB0000002735;MBA__HA075G045;шт.;1;225
248;Малые детали;Гайка низкая шестигранная с фаской;;PB0000001802;MBA__HA075G047;шт.;1;5
249;Малые детали;Ось;;PB0000006440;-;шт.;1;133
250;Малые детали;Штифт цилиндрический;;PB0000000428;MBA__HA075G049;шт.;1;5
251;Малые детали;Кольцо стопорное;;PB0000000718;MBA__HA075G053;шт.;1;5
252;Малые детали;Кольцо стопорное;;PB0000000719;MBA__HA075G056;шт.;1;5
253;Малые детали;Шпонка призматическая;;PB0000006242;MBA__HA075G057;шт.;1;50
254;Малые детали;Штифт;;PB0000009463;MBA__HA075G087;шт.;1;5
255;Малые детали;Тяга в сборе;;PB0000268834;-;шт.;2;773
256;Малые детали;Палец;;PB0000006431;MBA__HA075G023;шт.;2;38
257;Малые детали;Кольцо стопорное;;PB0000000684;MBA__HA075G024;шт.;2;3
258;Малые детали;Гайка;;PB0000012553;-;шт.;2;3
259;Малые детали;Болт;;PB0000000686;MBA__HA075G033;шт.;2;145
260;Малые детали;Болт;;PB0000000687;MBA__HA075G034;шт.;2;120
261;Малые детали;Штифт конический;;PB0000000009;MBA__HA075G036;шт.;2;28
262;Малые детали;Шайба;;PB0000002683;MBA__HA075G039;шт.;2;8
263;Малые детали;Шайба;;PB0000000941;MBA__HA075G054;шт.;2;13
264;Малые детали;Втулка;;PB0000000666;MBA__HA075G055;шт.;38;13
265;Малые детали;Гайка шестигранная;;PB0000000041;MBA__HA075G058;шт.;2;3
266;Малые детали;Шайба;;PB0000006441;MBA__HA075G069;шт.;2;23
267;Малые детали;Шайба;;PB0000002708;MBA__HA075G117;шт.;2;25
268;Малые детали;Ось;;PB0000006134;MBA__HA075G004;шт.;8;16
269;Малые детали;Подшипник;;PB0000000643;MBA__HA075G013;шт.;8;79
270;Малые детали;Пружина тарельчатая;;PB0000000755;MBA__HA075G116;шт.;8;3
271;Малые детали;Шайба;;PB0000000194;MBA__HA075G115;шт.;10;7
272;Малые детали;Болт с шестигранной головкой;;PB0000000388;MBA__HA075G022;шт.;14;1
273;Малые детали;Винт установочный с цапфой;;PB0000000427;MBA__HA075G009;шт.;16;1
274;Малые детали;Шайба;;PB0000024628;MBA__HA075G012;шт.;32;1
275;Малые детали;Втулка;;PB0000000644;MBA__HA075G020;шт.;36;8
276;Малые детали;О-образное кольцо;;PB0000251717;MBA__HA075G019;шт.;72;3
277;Малые детали;Лента уплотнительная 1300мм/6,0мм/20м;;PB0000170117;-;шт.;3;373
278;Малые детали;Лента уплотнительная 1400мм/6,0мм/20м;;PB0000170119;-;шт.;58;373
279;Малые детали;Прокладка;;PB0000006121;-;шт.;1;210
280;Малые детали;Прокладка;;PB0000006122;-;шт.;1;210
281;Малые детали;Прокладка;;PB0000006123;-;шт.;1;210
282;Малые детали;Прокладка;;PB0000006124;-;шт.;1;210
283;Малые детали;Прокладка;;PB0000006128;-;шт.;2;105
284;Малые детали;Штифт;;PB0000006125;-;шт.;2;48
285;Малые детали;Штифт;;PB0000013103;-;шт.;3;3
286;Малые детали;Винт с внутренним шестигранником;;PB0000000425;-;шт.;4;1
287;Малые детали;Штифт;;PB0000000044;-;шт.;20;13
288;Малые детали;Винт;;PB0000000256;-;шт.;21;5
289;Малые детали;Винт;;PB0000000259;-;шт.;11;5
290;Малые детали;Пробка резьбовая;;PB0000001883;-;шт.;1;45
291;Малые детали;Винт с цилиндрической головкой;;PB0000013117;-;шт.;1;5
292;Малые детали;Болт с шестигранной головкой;;PB0000000046;-;шт.;1;70
293;Малые детали;Шпилька;;PB0000002540;-;шт.;1;80
294;Малые детали;Гайка шестигранная;;PB0000002207;-;шт.;1;70
295;Малые детали;Штифт цилиндрический;;PB0000000543;-;шт.;3;13
296;Малые детали;Гайка колпачковая;;PB0000233492;-;шт.;2;80
297;Малые детали;Штифт конический (демонтируется после сборки);;PB0000001064;-;шт.;2;38
298;Малые детали;Штифт конический (демонтируется после сборки);;PB0000000745;-;шт.;2;40
299;Малые детали;Болт с шестигранной головкой;;PB0000013118;-;шт.;3;2
300;Малые детали;Болт с шестигранной головкой;;PB0000002206;-;шт.;3;83
301;Малые детали;Штифт конический с внутренней резьбой;;PB0000000664;-;шт.;4;21
302;Малые детали;Болт с шестигранной головкой;;PB0000000045;-;шт.;5;53
303;Малые детали;Пробка резьбовая;;PB0000005890;-;шт.;12;13
304;Малые детали;Кольцо уплотнительное;;PB0000000026;-;шт.;12;3
305;Малые детали;Втулка;;PB0000000667;-;шт.;36;7
306;Малые детали;Кольцо уплотнительное;;PB0000251718;-;шт.;36;3
307;Малые детали;Втулка;;PB0000000665;-;шт.;36;5
308;Малые детали;Проволока;;PB0000003299;-;м;6,4;7
309;Малые детали;Лента уплотнительная 1400мм/4,0мм/20м;;PB0000169941;-;шт.;20;373
310;Малые детали;Прокладка;;PB0000006033;-;шт.;1;210
311;Малые детали;Прокладка;;PB0000006034;-;шт.;1;210
312;Малые детали;Прокладка;;PB0000006035;-;шт.;1;210
313;Малые детали;Прокладка;;PB0000006036;-;шт.;1;210
314;Малые детали;Болт с шестигранной головкой;;PB0000002047;MBA__HA092G045;шт.;2;25
315;Малые детали;Шайба стопорная;;PB0000002051;MBA__HA092G024;шт.;4;20
316;Малые детали;Камень кулисный;;PB0000007166;MBA__HA092G025;шт.;4;655
317;Малые детали;Камень кулисный;;PB0000007168;MBA__HA092G041;шт.;4;981
318;Малые детали;Болт с шестигранной головкой;;PB0000002055;MBA__HA092G050;шт.;4;9
319;Малые детали;Штифт;;PB0000002052;MBA__HA092G052;шт.;4;13
320;Малые детали;Пробка резьбовая;;PB0000001527;MBA__HA092G061;шт.;6;29
321;Малые детали;Кольцо уплотнительное;;PB0000001528;MBA__HA092G062;шт.;6;7
322;Малые детали;Болт калиброванный;;PB0000233494;MBA__HA087G004;шт.;3;288
323;Малые детали;Болт с шестигранной головкой;;PB0000011799;MBA__HA092G020;шт.;8;1
324;Малые детали;Гайка шестигранная;;PB0000233495;MBA__HA087G006;шт.;7;53
325;Малые детали;Штифт конический (демонтируется после сборки);;PB0000000042;MBA__HA087G009;шт.;8;50
326;Малые детали;Проволока;;PB0000008035;MBA__HA020G003;м;6,2;3
327;Малые детали;Уплотнение;;PB0000013073;-;шт.;1;210
328;Малые детали;Уплотнение;;PB0000013074;-;шт.;1;210
329;Малые детали;Уплотнение;;PB0000013075;-;шт.;1;210
330;Малые детали;Уплотнение;;PB0000013076;-;шт.;1;210
331;Малые детали;Палец;;PB0000013078;-;шт.;2;40
332;Малые детали;Палец;;PB0000013079;-;шт.;2;28
333;Малые детали;Палец;;PB0000013080;-;шт.;2;33
334;Малые детали;Пробка резьбовая;;PB0000009100;-;шт.;12;18
335;Малые детали;Палец;;PB0000013077;-;шт.;12;28
336;Малые детали;Болт калиброванный;;PB0000233497;MBA__HA090G009;шт.;1;265
337;Малые детали;Штифт цилиндрический;;PB0000001023;MBA__HA005G026;шт.;1;10
338;Малые детали;Уплотнение;;PB0000006308;MBA__HA005G012;шт.;10;26
339;Малые детали;Уплотнение;;PB0000006309;MBA__HA005G018;шт.;10;24
340;Малые детали;Штифт цилиндрический;;PB0000006265;MBA__HA005G802;шт.;10;12
341;Малые детали;Уплотнение;;PB0000006310;MBA__HA005G025;шт.;10;24
342;Малые детали;Штифт цилиндрический;;PB0000006336;MBA__HA005G042;шт.;10;8
343;Малые детали;Шпилька;;PB0000006108;MBA__HA005G043;шт.;10;10
344;Малые детали;Штифт цилиндрический;;PB0000006105;MBA__HA005G048;шт.;10;6
345;Малые детали;Штифт;;PB0000006104;MBA__HA005G013;шт.;20;8
346;Малые детали;Уплотнение;;PB0000006167;MBA__HA005G004;шт.;46;31
347;Малые детали;Уплотнение;;PB0000006164;MBA__HA005G005;шт.;46;17
348;Малые детали;Штифт цилиндрический;;PB0000006154;MBA__HA005G006;шт.;46;11
349;Малые детали;Уплотнение;;PB0000006173;MBA__HA005G028;шт.;46;14
350;Малые детали;Уплотнение;;PB0000006168;MBA__HA005G008;шт.;48;25
351;Малые детали;Уплотнение;;PB0000006162;MBA__HA005G009;шт.;48;17
352;Малые детали;Уплотнение;;PB0000006163;MBA__HA005G015;шт.;51;22
353;Малые детали;Уплотнение;;PB0000006169;MBA__HA005G016;шт.;51;17
354;Малые детали;Уплотнение;;PB0000006165;MBA__HA005G020;шт.;55;31
355;Малые детали;Уплотнение;;PB0000006303;MBA__HA005G021;шт.;55;18
356;Малые детали;Штифт цилиндрический;;PB0000006264;MBA__HA005G801;шт.;55;12
357;Малые детали;Шайба стопорная;;PB0000006155;MBA__HA005G023;шт.;55;5
358;Малые детали;Штифт цилиндрический;;PB0000006103;MBA__HA005G010;шт.;99;9
359;Малые детали;Камень кулисный;;PB0000001871;MBA__HA005G034;шт.;2;1048
360;Малые детали;Штифт;;PB0000006305;MBA__HA005G038;шт.;2;22
361;Малые детали;Болт;;PB0000000722;MBA__HA005G041;шт.;2;33
362;Малые детали;Винт с цилиндрической головкой;;PB0000000513;MBA__HA005G046;шт.;2;5
363;Малые детали;Камень кулисный;;PB0000001873;MBA__HA005G052;шт.;2;918
364;Малые детали;Штифт;;PB0000001890;MBA__HA005G057;шт.;2;18
365;Малые детали;Шпилька;;PB0000001898;MBA__HA005G058;шт.;2;28
366;Малые детали;Штифт конический (демонтируется после сборки);;PB0000000008;MBA__HA005G707;шт.;4;34
367;Малые детали;Шпилька;;PB0000006299;MBA__HA005G708;шт.;4;432
368;Малые детали;Шпилька;;PB0000006138;MBA__HA005G705;шт.;6;393
369;Малые детали;Прокладка;;PB0000007104;MBA__HA005G045.1;шт.;8;294
370;Малые детали;Прокладка;;PB0000007107;MBA__HA005G045.2;шт.;8;294
371;Малые детали;Прокладка;;PB0000007106;MBA__HA005G045.3;шт.;8;294
372;Малые детали;Прокладка;;PB0000007110;MBA__HA005G045.4;шт.;8;294
373;Малые детали;Прокладка;;PB0000007111;MBA__HA005G045.5;шт.;8;294
374;Малые детали;Шайба;;PB0000006740;MBA__HA005G704;шт.;10;16
375;Малые детали;Гайка колпачковая;;PB0000002719;MBA__HA005G706;шт.;10;197
376;Малые детали;Болт;;PB0000000382;MBA__HA005G056;шт.;12;2
377;Малые детали;Прокладка;;PB0000159714;MBA__HA005G044.1;шт.;40;196
378;Малые детали;Прокладка;;PB0000159715;MBA__HA005G044.2;шт.;40;196
379;Малые детали;Прокладка;;PB0000159716;MBA__HA005G044.3;шт.;40;196
380;Малые детали;Прокладка;;PB0000159717;MBA__HA005G044.4;шт.;40;196
381;Малые детали;Прокладка;;PB0000159718;MBA__HA005G044.5;шт.;40;196
382;Малые детали;Вставка резьбовая;;PB0000001493;-;шт.;24;1
383;Малые детали;Вставка резьбовая;;PB0000001683;-;шт.;96;10
384;Малые детали;Шпиндель;;PB0000007808;MBM__AA001G003;шт.;1;785
385;Малые детали;Гайка;;PB0000001431;MBM__AA001G004;шт.;1;367
386;Малые детали;Вилка;;PB0000001432;MBM__AA001G005;шт.;1;420
387;Малые детали;Втулка;;PB0000006825;MBM__AA001G006;шт.;1;120
388;Малые детали;Втулка;;PB0000006827;MBM__AA001G007;шт.;1;200
389;Малые детали;Гайка накидная;;PB0000006829;MBM__AA001G008;шт.;1;200
390;Малые детали;Кольцо с резьбой;;PB0000006831;MBM__AA001G009;шт.;1;160
391;Малые детали;Соединение резьбовое;;PB0000137072;MBM__HA003G050;шт.;2;105
392;Малые детали;Имитатор плитки металлический;;PB0000001349;MBM__HA004G040;шт.;2;525
393;Малые детали;Болт шестигранный;;PB0000130906;-;шт.;2;28
394;Малые детали;Гайка;;PB0000000618;-;шт.;12;11
395;Малые детали;Шайба;;PB0000006888;-;шт.;12;7
396;Малые детали;Шток с резьбой;;PB0000006207;MBM__AA001G010;шт.;2;65
397;Малые детали;Болт;;PB0000006102;MBM__AA001G012;шт.;2;73
398;Малые детали;Болт;;PB0000001010;MBM__AA001G014;шт.;2;20
399;Малые детали;Гайка;;PB0000000439;MBM__AA001G017;шт.;2;20
400;Малые детали;Проволока;;PB0000000570;MBM__AA001G018;шт.;2;8
401;Малые детали;Проволока;;PB0000000571;MBM__AA001G021;шт.;2;18
402;Малые детали;Болт;;PB0000006185;MBM__AA001G033;шт.;2;45
403;Малые детали;Шайба;;PB0000006205;MBM__AA001G034;шт.;2;10
404;Малые детали;Шплинт;;PB0000000537;MBM__AA001G036;шт.;2;3
405;Малые детали;Штифт;;PB0000013823;MBM__AA001G040;шт.;2;15
406;Малые детали;Штифт;;PB0000160569;MBM__AA001G041;шт.;2;10
407;Малые детали;Штифт;;PB0000160570;MBM__AA001G042;шт.;2;10
408;Малые детали;Уплотнение;;PB0000222905;MBM__HA008G203;шт.;2;73
409;Малые детали;Ролик;;PB0000006334;-;шт.;3;393
410;Малые детали;Ролик;;PB0000006335;-;шт.;3;393
411;Малые детали;Болт с шестигранной головкой;;PB0000001699;MBM__HA004G043;шт.;3;12
412;Малые детали;Штифт установочный;;PB0000222904;MBM__HA008G201;шт.;3;36
413;Малые детали;Гайка шестигранная;;PB0000012551;MBM__HA008G202;шт.;3;13
414;Малые детали;Шайба;;PB0000000574;MBM__AA001G016;шт.;4;11
415;Малые детали;Кольцо уплотнительное;;PB0000000827;MBM__AA001G020;шт.;4;6
416;Малые детали;Кольцо стопорное;;PB0000000359;MBM__AA001G029;шт.;4;1
417;Малые детали;Головка шарнирная;;PB0000000594;MBM__AA001G031;шт.;4;785
418;Малые детали;Болт с шестигранной головкой;;PB0000002601;MBM__HA008G039;шт.;5;25
419;Малые детали;Ролик;;PB0000006275;-;шт.;6;393
420;Малые детали;Шайба;;PB0000001494;MBM__HA004G021;шт.;6;13
421;Малые детали;Штифт;;PB0000000025;MBM__AA001G013;шт.;6;9
422;Малые детали;Шайба дистанционная;;PB0000006106;MBM__AA001G030;шт.;8;26
423;Малые детали;Штифт цилиндрический;;PB0000002018;-;шт.;9;8
424;Малые детали;Палец;;PB0000001635;-;шт.;9;27
425;Малые детали;Винт с внутренним шестигранником;;PB0000002068;MBM__HA004G051;шт.;12;25
426;Малые детали;Элемент стопорный, стальной литой;;PB0000002069;MBM__HA004G052;шт.;12;11
427;Малые детали;Кольцо уплотнительное;;PB0000000828;MBM__AA001G019;шт.;14;7
428;Малые детали;Шайба;;PB0000000442;MBM__AA001G015;шт.;16;3
429;Малые детали;Штифт цилиндрический;;PB0000001220;-;шт.;18;9
430;Малые детали;Держатель;;PB0000002067;-;шт.;24;31
431;Малые детали;Держатель;;PB0000000824;-;шт.;24;24
432;Малые детали;Штифт конический;;PB0000001634;-;шт.;36;16
433;Малые детали;Гайка шестигранная;;PB0000000168;MBM__HA004G049;шт.;44;8
434;Малые детали;Держатель керамической плитки;;PB0000221105;MBM__HA004G034;шт.;72;28
435;Малые детали;Держатель керамической плитки;;PB0000221109;MBM__HA004G035;шт.;72;28
436;Малые детали;Держатель;;PB0000220324;MBM__HA004G036;шт.;72;92
437;Малые детали;Винт с цилиндрической головкой;;PB0000001640;MBM__HA004G045;шт.;72;14
438;Малые детали;Держатель;;PB0000002065;-;шт.;144;39
439;Малые детали;Держатель;;PB0000219742;-;шт.;144;30
440;Малые детали;Держатель;;PB0000001491;-;шт.;456;34
441;Малые детали;Фиксатор;;PB0000002066;-;шт.;576;8
442;Малые детали;Сегмент профиля;;PB0000001492;-;шт.;1920;1
443;Малые детали;Кольцо уплотнительное;;PB0000165576;-;шт.;16;16
444;Малые детали;Кольцо уплотнительное A10x13,5;;PB0000000953;-;шт.;16;3
445;Малые детали;Уплотнительное кольцо;;PB0000000710;-;шт.;16;17
446;Малые детали;Уплотнительное кольцо;;PB0000007724;-;шт.;16;9
447;Малые детали;Кольцо подкладное;;PB0000000108;-;шт.;16;7
448;Малые детали;Кольцо уплотнительное;;PB0000000107;-;шт.;16;12
449;Малые детали;Вставка резьбовая AM20x40;;PB0000001124;-;шт.;32;3
450;Малые детали;Уплотнение круглое;;PB0000001709;MBP__KV017G006;шт.;2;117
451;Малые детали;Кольцо дистанционное;;PB0000006410;MBP__KV017G014;шт.;2;368
